,PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARDS,TEAM,POSITION,CAPS,CLUB/PROVINCE,AGE,FORWARD/BACK
0,Aaron Wainwright,102,0,0,0,0,0,32,7,1,13,6,0,1,1,20,1,1,0,0,2,1,1,0,0,3,0,0,0,Wales,Back row,34, Dragons,24,Forward
1,Adam Beard,400,0,0,0,0,0,78,21,0,43,22,0,0,0,52,3,2,1,0,1,1,5,1,0,17,0,0,0,Wales,Lock,29, Ospreys,26,Forward
2,Adam Hastings,4,0,0,0,0,0,4,1,0,3,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,Fly-half,25, Gloucester,25,Back
3,Alessandro Fusco,104,0,1,0,0,0,54,11,383,91,80,0,4,0,11,1,0,0,0,2,6,1,0,0,0,0,0,0,Italy,Scrum-half,2, Zebre Parma,22,Back
4,Alex Cuthbert,240,0,0,0,0,0,319,35,106,39,7,3,10,1,8,3,2,0,1,3,3,4,0,0,0,0,0,0,Wales,Wing,48, Ospreys,31,Back
5,Alex Dombrandt,244,1,0,0,0,0,281,42,0,49,7,0,6,1,27,1,1,6,2,3,4,1,0,0,2,2,0,0,England,Back row,4,Harlequins,24,Forward
6,Ali Price,309,0,2,0,0,0,189,21,727,308,287,1,16,1,21,7,0,2,1,6,10,1,1,0,0,0,0,0,Scotland,Scrum-half,46, Glasgow Warriors,28,Back
7,Allan Dell,28,0,0,0,0,0,10,2,0,4,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Scotland,Prop,32, London Irish,29,Forward
8,Alun Wyn Jones,60,0,0,0,0,0,25,8,0,10,5,3,1,0,8,1,0,0,0,0,0,0,0,0,2,0,0,0,Wales,Lock,149, Ospreys,36,Forward
9,Andrea Zambonin,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,Italy,Lock,1, Zebre Parma,21,Forward
10,Andrew Conway,222,2,0,0,0,0,106,15,223,21,6,0,5,0,8,4,0,0,0,6,1,2,0,0,0,0,0,0,Ireland,Wing,27,Munster,30,Back
11,Andrew Porter,181,0,0,0,0,0,77,13,0,18,5,0,1,1,20,1,1,3,1,1,2,1,0,1,0,0,0,0,Ireland,Prop,40,Leinster,26,Forward
12,Andy Christie,37,0,0,0,0,0,16,5,0,7,3,1,0,0,3,0,0,0,0,1,1,1,0,0,1,0,0,0,Scotland,Back row,0, Saracens,22,Forward
13,Ange Capuozzo,115,2,1,0,0,0,211,23,117,44,23,2,8,0,10,3,0,0,0,0,0,1,0,0,0,0,0,0,Italy,Fullback,0, Grenoble,22,Back
14,Anthony Jelonch,373,2,0,0,0,0,148,27,0,35,12,4,2,1,64,7,2,4,1,1,3,4,1,0,1,0,0,0,France,Back row,14, Toulouse,25,Forward
15,Antoine Dupont,360,2,2,0,0,0,239,37,1930,264,235,8,13,1,41,4,3,0,1,5,10,2,1,0,2,0,0,0,France,Scrum-half,35, Toulouse,25,Back
16,Ben Carter,6,0,0,0,0,0,5,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Wales,Lock,5, Dragons,21,Forward
17,Ben Vellacott,4,0,0,0,0,0,10,2,0,9,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,Scrum-half,0, Edinburgh,26,Back
18,Ben White,85,1,0,0,0,0,56,7,167,95,89,1,4,0,8,0,0,1,1,1,2,1,0,0,0,0,1,0,Scotland,Scrum-half,0, London Irish,23,Back
19,Ben Youngs,218,0,1,0,0,0,26,7,977,174,169,2,2,1,12,4,0,0,1,3,3,1,0,0,0,0,0,0,England,Scrum-half,112,Leicester Tigers,32,Back
20,Blair Kinghorn,109,0,1,0,0,0,134,10,83,57,47,0,1,0,8,1,0,0,0,1,7,1,0,0,0,0,0,0,Scotland,Fullback,28, Edinburgh,25,Back
21,Braam Steyn,135,0,0,0,0,0,87,11,0,17,6,0,0,0,25,6,2,0,0,0,1,2,0,0,2,0,1,0,Italy,Back row,46, Benetton,29,Forward
22,Bradley Roberts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Wales,Hooker,1, Ulster,26,Back
23,Bundee Aki,265,1,1,0,0,0,209,34,0,58,27,3,3,0,24,3,0,1,1,2,2,1,1,0,0,0,0,0,Ireland,Centre,33,Connacht,31,Back
24,Caelan Doris,374,0,0,0,0,0,289,43,0,66,24,1,7,1,53,0,2,4,1,7,7,4,0,0,9,0,0,0,Ireland,Back row,12,Leinster,23,Forward
25,Callum Braley,126,1,0,0,0,0,28,4,568,101,97,0,2,0,4,7,0,0,0,2,4,0,0,0,0,0,0,0,Italy,Scrum-half,12, Benetton,27,Back
26,Callum Sheedy,31,0,0,1,0,0,19,2,26,11,9,0,0,0,8,1,0,1,0,0,1,0,0,0,0,0,0,0,Wales,Fly-half,13, Bristol Bears,26,Back
27,Cameron Redpath,1,0,0,0,0,0,32,4,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scotland,Centre,1, Bath,22,Back
28,Cameron Woki,337,0,0,0,0,0,73,18,0,34,16,0,0,0,32,4,1,2,0,0,2,3,1,0,24,0,0,0,France,Back row,11, Bordeaux,23,Forward
29,Charlie Ewels,153,0,0,0,0,0,70,14,0,20,6,0,0,1,13,0,0,1,0,2,1,2,1,0,2,1,0,1,England,Lock,26,Bath,26,Forward
30,Cherif Traore,45,0,0,0,0,0,23,5,0,5,0,0,0,0,8,1,1,0,0,0,0,1,0,0,0,0,0,0,Italy,Prop,12, Benetton,27,Forward
31,Chris Harris,346,2,0,0,0,0,241,28,11,44,18,2,6,2,38,5,0,0,0,4,5,2,0,0,0,0,0,0,Scotland,Centre,31, Gloucester,31,Back
32,Cian Healy,127,1,0,0,0,0,24,7,0,8,1,0,1,1,13,4,0,0,1,1,1,2,0,2,0,0,0,0,Ireland,Prop,112,Leinster,34,Forward
33,Conor Murray,55,1,1,0,0,0,32,5,197,71,66,0,1,1,3,1,0,0,0,3,4,0,0,0,0,0,0,0,Ireland,Scrum-half,92,Munster,32,Back
34,Courtney Lawes,240,0,0,0,0,0,93,19,0,30,11,0,2,0,39,2,2,0,0,0,0,1,0,0,8,0,0,0,England,Lock,90,Northampton Saints,32,Forward
35,Craig Casey,19,0,1,0,0,0,2,2,0,31,29,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,Ireland,Scrum-half,4,Munster,22,Back
36,Cyril Baille,265,1,1,0,0,0,130,27,0,35,16,8,3,0,36,1,1,0,0,1,1,2,0,1,0,0,0,0,France,Prop,31, Toulouse,28,Forward
37,Damian Penaud,320,3,1,0,0,0,247,23,268,40,22,5,13,1,17,2,3,0,0,3,4,1,0,0,1,0,0,0,France,Wing,28, Clermont,25,Back
38,Dan Biggar,389,0,1,5,7,1,145,22,1497,186,164,0,1,0,44,7,0,0,1,2,10,1,0,0,0,0,0,0,Wales,Fly-half,95, Northampton Saints,32,Back
39,Dan Sheehan,256,1,1,0,0,0,250,44,0,55,17,5,8,0,39,2,2,0,1,3,1,1,0,1,0,0,0,0,Ireland,Hooker,2,Leinster,23,Back
40,Danilo Fischetti,296,0,0,0,0,0,72,20,0,27,9,2,1,0,50,8,6,5,0,1,0,6,0,4,1,0,0,0,Italy,Prop,15, Zebre Parma,24,Forward
41,Darcy Graham,400,2,1,0,0,0,395,36,50,44,9,1,19,0,21,10,1,1,1,3,2,4,1,0,1,0,0,0,Scotland,Wing,22, Edinburgh,24,Back
