,stat,diff_norm,diff
0,BROKEN TACKLES,-0.12281082645824287,-2.5790273556231007
1,CARRIES,-0.028698353318414027,-1.8653929656969161
2,CONVERSIONS,-0.03924646781789639,-0.5102040816326531
3,DOMINANT TACKLES,0.07242106569071398,0.5069474598349979
4,HANDLING ERRORS,-0.12412663324517428,-1.3653929656969173
5,KNOCK ONS,-0.03488203792155159,-0.10464611376465482
6,METRES KICKED,-0.13435899108844288,-259.31285280069477
7,METRES MADE,-0.08732876258962327,-57.28766825879288
8,MISSED TACKLES,-0.060746851932262286,-0.9112027789839336
9,OFFLOADS,-0.08708447918174361,-0.7837603126356927
10,OFFSIDE PENALTIES,0.030286582718193664,0.06057316543638733
11,PASSES MADE,-0.08014963759644611,-31.258358662613986
12,PENALTY GOALS,-0.033613445378151266,-0.5714285714285714
13,TACKLES MADE,0.11939179432287511,10.267694311767258
14,TRIES,-0.10935012302793456,-0.3280503690838038
15,TRY ASSISTS,-0.11148501953973079,-0.44594007815892317
16,TURNOVERS CONCEDED,-0.1634009986973513,-1.3072079895788105
17,TURNOVERS WON,0.10312635692574904,0.618758141554494
