,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value
0,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,MINUTES PLAYED,102
1,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,MINUTES PLAYED,400
2,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,MINUTES PLAYED,4
3,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,MINUTES PLAYED,104
4,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,MINUTES PLAYED,240
5,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,MINUTES PLAYED,244
6,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,MINUTES PLAYED,309
7,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,MINUTES PLAYED,28
8,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,MINUTES PLAYED,60
9,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,MINUTES PLAYED,9
10,Andrew Conway,Back,Ireland,Wing,30,27,Munster,MINUTES PLAYED,222
11,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,MINUTES PLAYED,181
12,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,MINUTES PLAYED,37
13,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,MINUTES PLAYED,115
14,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,MINUTES PLAYED,373
15,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,MINUTES PLAYED,360
16,Ben Carter,Forward,Wales,Lock,21,5, Dragons,MINUTES PLAYED,6
17,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,MINUTES PLAYED,4
18,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,MINUTES PLAYED,85
19,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,MINUTES PLAYED,218
20,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,MINUTES PLAYED,109
21,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,MINUTES PLAYED,135
22,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,MINUTES PLAYED,5
23,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,MINUTES PLAYED,265
24,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,MINUTES PLAYED,374
25,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,MINUTES PLAYED,126
26,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,MINUTES PLAYED,31
27,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,MINUTES PLAYED,1
28,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,MINUTES PLAYED,337
29,Charlie Ewels,Forward,England,Lock,26,26,Bath,MINUTES PLAYED,153
30,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,MINUTES PLAYED,45
31,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,MINUTES PLAYED,346
32,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,MINUTES PLAYED,127
33,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,MINUTES PLAYED,55
34,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,MINUTES PLAYED,240
35,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,MINUTES PLAYED,19
36,Cyril Baille,Forward,France,Prop,28,31, Toulouse,MINUTES PLAYED,265
37,Damian Penaud,Back,France,Wing,25,28, Clermont,MINUTES PLAYED,320
38,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,MINUTES PLAYED,389
39,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,MINUTES PLAYED,256
40,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,MINUTES PLAYED,296
41,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,MINUTES PLAYED,400
42,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,MINUTES PLAYED,92
43,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,MINUTES PLAYED,44
44,Demba Bamba,Forward,France,Prop,23,20, Lyon,MINUTES PLAYED,88
45,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,MINUTES PLAYED,156
46,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,MINUTES PLAYED,110
47,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,MINUTES PLAYED,239
48,Dylan Cretin,Forward,France,Back row,24,13, Lyon,MINUTES PLAYED,123
49,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,MINUTES PLAYED,387
50,Elliot Daly,Back,England,Wing,29,52,Saracens,MINUTES PLAYED,282
51,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,MINUTES PLAYED,331
52,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,MINUTES PLAYED,52
53,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,MINUTES PLAYED,54
54,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,MINUTES PLAYED,364
55,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,MINUTES PLAYED,73
56,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,MINUTES PLAYED,300
57,Francois Cros,Forward,France,Back row,27,11, Toulouse,MINUTES PLAYED,316
58,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,MINUTES PLAYED,29
59,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,MINUTES PLAYED,400
60,Gabin Villiere,Back,France,Wing,26,8, Toulon,MINUTES PLAYED,320
61,Gael Fickou,Back,France,Centre,27,66, Racing 92,MINUTES PLAYED,400
62,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,MINUTES PLAYED,21
63,Gareth Davies,Back,Wales,Scrum-half,31,65, Scarlets,MINUTES PLAYED,89
64,Gareth Thomas,Forward,Wales,Prop,28,5, Ospreys,MINUTES PLAYED,192
65,Garry Ringrose,Back,Ireland,Centre,27,37,Leinster,MINUTES PLAYED,380
66,George Ford,Back,England,Fly-half,28,77,Leicester Tigers,MINUTES PLAYED,28
67,George Furbank,Back,England,Fullback,25,5,Northampton Saints,MINUTES PLAYED,76
68,George Turner,Back,Scotland,Hooker,29,20, Glasgow Warriors,MINUTES PLAYED,222
69,Giacomo Nicotera,Back,Italy,Hooker,25,0, Benetton,MINUTES PLAYED,104
70,Gianmarco Lucchesi,Back,Italy,Hooker,21,8, Benetton,MINUTES PLAYED,109
71,Giosue Zilocchi,Forward,Italy,Prop,25,15, Zebre Parma,MINUTES PLAYED,30
72,Giovanni Pettinelli,Forward,Italy,Back row,25,1, Benetton,MINUTES PLAYED,264
73,Grant Gilchrist,Forward,Scotland,Lock,31,48, Edinburgh,MINUTES PLAYED,352
74,Gregory Alldritt,Forward,France,Back row,24,26, La Rochelle,MINUTES PLAYED,374
75,Hame Faiva,Back,Italy,Hooker,27,1, Benetton /  Rovigo Delta,MINUTES PLAYED,69
76,Hamish Watson,Forward,Scotland,Back row,30,45, Edinburgh,MINUTES PLAYED,320
77,Harry Randall,Back,England,Scrum-half,24,2,Bristol Bears,MINUTES PLAYED,182
78,Henry Slade,Back,England,Centre,28,43,Exeter Chiefs,MINUTES PLAYED,400
