,PLAYER,FORWARD/BACK,TEAM,POSITION,AGE,CAPS,CLUB/PROVINCE,stat,value,norm_value,stat_category
0,Aaron Wainwright,Forward,Wales,Back row,24,34, Dragons,TRIES,0,0.0,Attack
1,Adam Beard,Forward,Wales,Lock,26,29, Ospreys,TRIES,0,0.0,Attack
2,Adam Hastings,Back,Scotland,Fly-half,25,25, Gloucester,TRIES,0,0.0,Attack
3,Alessandro Fusco,Back,Italy,Scrum-half,22,2, Zebre Parma,TRIES,0,0.0,Attack
4,Alex Cuthbert,Back,Wales,Wing,31,48, Ospreys,TRIES,0,0.0,Attack
5,Alex Dombrandt,Forward,England,Back row,24,4,Harlequins,TRIES,1,0.3333333333333333,Attack
6,Ali Price,Back,Scotland,Scrum-half,28,46, Glasgow Warriors,TRIES,0,0.0,Attack
7,Allan Dell,Forward,Scotland,Prop,29,32, London Irish,TRIES,0,0.0,Attack
8,Alun Wyn Jones,Forward,Wales,Lock,36,149, Ospreys,TRIES,0,0.0,Attack
9,Andrea Zambonin,Forward,Italy,Lock,21,1, Zebre Parma,TRIES,0,0.0,Attack
10,Andrew Conway,Back,Ireland,Wing,30,27,Munster,TRIES,2,0.6666666666666666,Attack
11,Andrew Porter,Forward,Ireland,Prop,26,40,Leinster,TRIES,0,0.0,Attack
12,Andy Christie,Forward,Scotland,Back row,22,0, Saracens,TRIES,0,0.0,Attack
13,Ange Capuozzo,Back,Italy,Fullback,22,0, Grenoble,TRIES,2,0.6666666666666666,Attack
14,Anthony Jelonch,Forward,France,Back row,25,14, Toulouse,TRIES,2,0.6666666666666666,Attack
15,Antoine Dupont,Back,France,Scrum-half,25,35, Toulouse,TRIES,2,0.6666666666666666,Attack
16,Ben Carter,Forward,Wales,Lock,21,5, Dragons,TRIES,0,0.0,Attack
17,Ben Vellacott,Back,Scotland,Scrum-half,26,0, Edinburgh,TRIES,0,0.0,Attack
18,Ben White,Back,Scotland,Scrum-half,23,0, London Irish,TRIES,1,0.3333333333333333,Attack
19,Ben Youngs,Back,England,Scrum-half,32,112,Leicester Tigers,TRIES,0,0.0,Attack
20,Blair Kinghorn,Back,Scotland,Fullback,25,28, Edinburgh,TRIES,0,0.0,Attack
21,Braam Steyn,Forward,Italy,Back row,29,46, Benetton,TRIES,0,0.0,Attack
22,Bradley Roberts,Back,Wales,Hooker,26,1, Ulster,TRIES,0,0.0,Attack
23,Bundee Aki,Back,Ireland,Centre,31,33,Connacht,TRIES,1,0.3333333333333333,Attack
24,Caelan Doris,Forward,Ireland,Back row,23,12,Leinster,TRIES,0,0.0,Attack
25,Callum Braley,Back,Italy,Scrum-half,27,12, Benetton,TRIES,1,0.3333333333333333,Attack
26,Callum Sheedy,Back,Wales,Fly-half,26,13, Bristol Bears,TRIES,0,0.0,Attack
27,Cameron Redpath,Back,Scotland,Centre,22,1, Bath,TRIES,0,0.0,Attack
28,Cameron Woki,Forward,France,Back row,23,11, Bordeaux,TRIES,0,0.0,Attack
29,Charlie Ewels,Forward,England,Lock,26,26,Bath,TRIES,0,0.0,Attack
30,Cherif Traore,Forward,Italy,Prop,27,12, Benetton,TRIES,0,0.0,Attack
31,Chris Harris,Back,Scotland,Centre,31,31, Gloucester,TRIES,2,0.6666666666666666,Attack
32,Cian Healy,Forward,Ireland,Prop,34,112,Leinster,TRIES,1,0.3333333333333333,Attack
33,Conor Murray,Back,Ireland,Scrum-half,32,92,Munster,TRIES,1,0.3333333333333333,Attack
34,Courtney Lawes,Forward,England,Lock,32,90,Northampton Saints,TRIES,0,0.0,Attack
35,Craig Casey,Back,Ireland,Scrum-half,22,4,Munster,TRIES,0,0.0,Attack
36,Cyril Baille,Forward,France,Prop,28,31, Toulouse,TRIES,1,0.3333333333333333,Attack
37,Damian Penaud,Back,France,Wing,25,28, Clermont,TRIES,3,1.0,Attack
38,Dan Biggar,Back,Wales,Fly-half,32,95, Northampton Saints,TRIES,0,0.0,Attack
39,Dan Sheehan,Back,Ireland,Hooker,23,2,Leinster,TRIES,1,0.3333333333333333,Attack
40,Danilo Fischetti,Forward,Italy,Prop,24,15, Zebre Parma,TRIES,0,0.0,Attack
41,Darcy Graham,Back,Scotland,Wing,24,22, Edinburgh,TRIES,2,0.6666666666666666,Attack
42,Dave Kilcoyne,Forward,Ireland,Prop,33,45,Munster,TRIES,0,0.0,Attack
43,David Sisi,Forward,Italy,Lock,29,18, Zebre Parma,TRIES,0,0.0,Attack
44,Demba Bamba,Forward,France,Prop,23,20, Lyon,TRIES,0,0.0,Attack
45,Dewi Lake,Back,Wales,Hooker,22,0, Ospreys,TRIES,1,0.3333333333333333,Attack
46,Dillon Lewis,Forward,Wales,Prop,26,34, Cardiff,TRIES,0,0.0,Attack
47,Duhan van der Merwe,Back,Scotland,Wing,26,13, Worcester Warriors,TRIES,1,0.3333333333333333,Attack
48,Dylan Cretin,Forward,France,Back row,24,13, Lyon,TRIES,0,0.0,Attack
49,Edoardo Padovani,Back,Italy,Fullback,28,30, Benetton,TRIES,1,0.3333333333333333,Attack
50,Elliot Daly,Back,England,Wing,29,52,Saracens,TRIES,1,0.3333333333333333,Attack
51,Ellis Genge,Forward,England,Prop,26,31,Leicester Tigers,TRIES,0,0.0,Attack
52,Ellis Jenkins,Forward,Wales,Back row,28,14, Cardiff,TRIES,0,0.0,Attack
53,Federico Mori,Back,Italy,Wing,21,11, Bordeaux,TRIES,0,0.0,Attack
54,Federico Ruzza,Forward,Italy,Lock,27,25, Benetton,TRIES,0,0.0,Attack
55,Finlay Bealham,Forward,Ireland,Prop,30,18,Connacht,TRIES,1,0.3333333333333333,Attack
56,Finn Russell,Back,Scotland,Fly-half,29,58, Racing 92,TRIES,0,0.0,Attack
57,Francois Cros,Forward,France,Back row,27,11, Toulouse,TRIES,1,0.3333333333333333,Attack
58,Fraser Brown,Back,Scotland,Hooker,32,54, Glasgow Warriors,TRIES,0,0.0,Attack
59,Freddie Steward,Back,England,Fullback,21,5,Leicester Tigers,TRIES,1,0.3333333333333333,Attack
60,Gabin Villiere,Back,France,Wing,26,8, Toulon,TRIES,3,1.0,Attack
61,Gael Fickou,Back,France,Centre,27,66, Racing 92,TRIES,2,0.6666666666666666,Attack
62,Gareth Anscombe,Back,Wales,Fly-half,30,29, Ospreys,TRIES,0,0.0,Attack
